taxonomy,concept,canonical_metric,item_id,statement_type,industry_template
us-gaap,OperatingLeaseLiabilityCurrent,operating_lease_liability,1209,balance_sheet,ALL
us-gaap,OperatingLeaseLiabilityNoncurrent,operating_lease_liability,1209,balance_sheet,ALL
us-gaap,OperatingLeaseRightOfUseAsset,rou_asset,1116,balance_sheet,ALL
us-gaap,OtherAssetsCurrent,other_current_assets,1109,balance_sheet,ALL
us-gaap,OtherAssetsNoncurrent,other_lt_assets,1119,balance_sheet,ALL
us-gaap,OtherLiabilitiesNoncurrent,other_lt_liabilities,1212,balance_sheet,ALL
us-gaap,PreferredStockValue,pref_stock,1214,balance_sheet,ALL
us-gaap,PrepaidExpenseCurrent,prepaid_expense,1108,balance_sheet,ALL
us-gaap,PropertyPlantAndEquipmentGross,ppe_gross,1111,balance_sheet,ALL
us-gaap,PropertyPlantAndEquipmentNet,ppe_net,1110,balance_sheet,ALL
us-gaap,ReceivablesNetCurrent,ar,1106,balance_sheet,ALL
us-gaap,RetainedEarningsAccumulatedDeficit,retained_earnings,1217,balance_sheet,ALL
us-gaap,ShortTermBorrowings,st_debt,1205,balance_sheet,ALL
us-gaap,ShortTermInvestments,st_investments,1105,balance_sheet,ALL
us-gaap,StockholdersEquity,stockholders_equity,1221,balance_sheet,ALL
us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,equity_incl_minority,1222,balance_sheet,ALL
us-gaap,TreasuryStockValue,treasury_stock,1219,balance_sheet,ALL
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,net_change_cash,1324,cash_flow,ALL
us-gaap,DepreciationDepletionAndAmortization,da_cf,1307,cash_flow,ALL
us-gaap,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,fx_effect_cash,1323,cash_flow,ALL
us-gaap,IncreaseDecreaseInAccountsPayable,change_in_ap,1321,cash_flow,ALL
us-gaap,IncreaseDecreaseInAccountsReceivable,change_in_ar,1319,cash_flow,ALL
us-gaap,IncreaseDecreaseInInventories,change_in_inventory,1320,cash_flow,ALL
us-gaap,NetCashProvidedByUsedInFinancingActivities,financing_cash_flow,1304,cash_flow,ALL
us-gaap,NetCashProvidedByUsedInInvestingActivities,investing_cash_flow,1303,cash_flow,ALL
us-gaap,NetCashProvidedByUsedInOperatingActivities,operating_cash_flow,1301,cash_flow,ALL
us-gaap,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,cfo_continuing,1302,cash_flow,ALL
us-gaap,PaymentsForRepurchaseOfCommonStock,share_repurchases,1312,cash_flow,ALL
us-gaap,PaymentsOfDividends,dividends_paid,1318,cash_flow,ALL
us-gaap,PaymentsOfDividendsCommonStock,common_div_paid,1316,cash_flow,ALL
us-gaap,PaymentsOfDividendsPreferredStockAndPreferenceStock,pref_div_paid,1317,cash_flow,ALL
us-gaap,PaymentsToAcquireBusinessesNetOfCashAcquired,acquisitions,1309,cash_flow,ALL
us-gaap,PaymentsToAcquireProductiveAssets,capital_expenditures_broad,1306,cash_flow,ALL
us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,capital_expenditures,1305,cash_flow,ALL
us-gaap,ProceedsFromDivestitureOfBusinesses,divestitures,1310,cash_flow,ALL
us-gaap,ProceedsFromIssuanceOfCommonStock,stock_issuance,1311,cash_flow,ALL
us-gaap,ProceedsFromIssuanceOfLongTermDebt,lt_debt_issued,1313,cash_flow,ALL
us-gaap,RepaymentsOfLongTermDebt,lt_debt_repaid,1314,cash_flow,ALL
us-gaap,ShareBasedCompensation,stock_based_comp,1308,cash_flow,ALL
us-gaap,AmortizationOfIntangibleAssets,amortization_intangibles,1013,income_statement,ALL
us-gaap,AssetImpairmentCharges,special_items,1022,income_statement,ALL
us-gaap,CostOfGoodsAndServicesSold,cogs,1003,income_statement,ALL
us-gaap,CostOfGoodsSold,cogs,1003,income_statement,ALL
us-gaap,CostOfRevenue,cogs,1003,income_statement,ALL
us-gaap,CurrentIncomeTaxExpenseBenefit,current_tax,1025,income_statement,ALL
us-gaap,DeferredIncomeTaxExpenseBenefit,deferred_tax_expense,1026,income_statement,ALL
us-gaap,Depreciation,depreciation,1012,income_statement,ALL
us-gaap,DepreciationAndAmortization,da_is,1011,income_statement,ALL
us-gaap,GeneralAndAdministrativeExpense,ga_expense,1007,income_statement,ALL
us-gaap,GrossProfit,gross_profit,1004,income_statement,ALL
us-gaap,IncomeLossFromContinuingOperations,ni_continuing,1029,income_statement,ALL
us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,pretax_income,1023,income_statement,ALL
us-gaap,IncomeLossFromDiscontinuedOperationsNetOfTax,discontinued_ops_ni,1030,income_statement,ALL
us-gaap,IncomeLossFromEquityMethodInvestments,equity_affiliates,1028,income_statement,ALL
us-gaap,IncomeTaxExpenseBenefit,income_tax,1024,income_statement,ALL
us-gaap,InterestExpense,interest_expense,1018,income_statement,ALL
us-gaap,InterestExpenseDebt,interest_expense_debt,1019,income_statement,ALL
us-gaap,InterestIncome,interest_income,1020,income_statement,ALL
us-gaap,InvestmentIncomeInterest,interest_income,1020,income_statement,ALL
us-gaap,NetIncomeLoss,net_income,1031,income_statement,ALL
us-gaap,NetIncomeLossAttributableToNoncontrollingInterest,minority_int_pl,1027,income_statement,ALL
us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,ni_to_common,1032,income_statement,ALL
us-gaap,NonoperatingIncomeExpense,nonoperating_income,1021,income_statement,ALL
us-gaap,OperatingIncomeLoss,operating_income,1014,income_statement,ALL
us-gaap,PreferredStockDividends,pref_dividends,1033,income_statement,ALL
us-gaap,ResearchAndDevelopmentExpense,rd_expense,1008,income_statement,ALL
us-gaap,RestructuringCharges,special_items,1022,income_statement,ALL
us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,revenue,1001,income_statement,ALL
us-gaap,Revenues,revenue,1001,income_statement,ALL
us-gaap,SalesRevenueNet,revenue,1001,income_statement,ALL
us-gaap,SellingAndMarketingExpense,selling_expense,1006,income_statement,ALL
us-gaap,SellingGeneralAndAdministrativeExpense,sga,1005,income_statement,ALL
us-gaap,EarningsPerShareBasic,eps_basic,1034,per_share,ALL
us-gaap,EarningsPerShareDiluted,eps_diluted,1035,per_share,ALL
us-gaap,IncomeLossFromContinuingOperationsPerBasicShare,eps_basic_cont,1036,per_share,ALL
us-gaap,IncomeLossFromContinuingOperationsPerDilutedShare,eps_diluted_cont,1037,per_share,ALL
dei,EntityCommonStockSharesOutstanding,shares_outstanding,1039,share_count,ALL
us-gaap,CommonStockSharesOutstanding,shares_outstanding,1039,share_count,ALL
us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,shares_diluted_avg,1041,share_count,ALL
us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,shares_basic_avg,1040,share_count,ALL
us-gaap,InterestAndDividendIncomeOperating,interest_income_bank,1503,bank_statement,BK
us-gaap,InterestExpense,interest_expense_bank,1504,bank_statement,BK
us-gaap,LoansAndLeasesReceivableNetReportedAmount,total_loans,1509,bank_statement,BK
us-gaap,ProvisionForLoanAndLeaseLosses,loan_loss_provision,1505,bank_statement,BK
us-gaap,PremiumsEarnedNet,premiums_earned,1601,insurance_statement,IS
