formula_code,family,kind,unit,numerator_code,denominator_code,numerator_item_ids,denominator_item_ids,inputs,transform,expression,is_meaningful_rule,definition,citation,valid_from,valid_to
operating_cash_flow_growth_yoy,growth,growth,ratio,operating_cash_flow,operating_cash_flow_prior_year,[1301],[1301],"[""ocf"", ""ocf_prior""]",pct_change,key:ocf|key:ocf_prior,require_positive_denominator,Year-over-year percentage change in operating cash flow.,,1900-01-01,
assets_growth_yoy,growth,growth,ratio,assets,assets_prior_year,[1101],[1101],"[""assets"", ""assets_prior""]",pct_change,key:assets|key:assets_prior,require_positive_denominator,Year-over-year percentage change in total assets.,,1900-01-01,
equity_growth_yoy,growth,growth,ratio,stockholders_equity,stockholders_equity_prior_year,[1221],[1221],"[""equity"", ""equity_prior""]",pct_change,key:equity|key:equity_prior,require_positive_denominator,Year-over-year percentage change in stockholders' equity.,,1900-01-01,
average_return_on_assets,profitability,ratio,ratio,net_income,average_assets,[1031],[1101],"[""ni"", ""assets"", ""assets_prior""]",divide,"key:ni|avg:assets,assets_prior",require_positive_denominator,Net income divided by the average of ending and prior-year total assets.,,1900-01-01,
average_return_on_equity,profitability,ratio,ratio,net_income,average_stockholders_equity,[1031],[1221],"[""ni"", ""equity"", ""equity_prior""]",divide,"key:ni|avg:equity,equity_prior",require_positive_denominator,Net income divided by the average of ending and prior-year stockholders' equity.,,1900-01-01,
operating_cash_flow_to_average_assets,cash_flow,ratio,ratio,operating_cash_flow,average_assets,[1301],[1101],"[""ocf"", ""assets"", ""assets_prior""]",divide,"key:ocf|avg:assets,assets_prior",require_positive_denominator,Operating cash flow divided by the average of ending and prior-year total assets.,,1900-01-01,
current_ratio,liquidity,ratio,ratio,current_assets,current_liabilities,[1102],[1202],"[""current_assets"", ""current_liabilities""]",divide,key:current_assets|key:current_liabilities,require_positive_denominator,Current assets divided by current liabilities.,,1900-01-01,
quick_ratio,liquidity,ratio,ratio,current_assets_minus_inventory,current_liabilities,[1102],[1202],"[""current_assets"", ""current_liabilities""]",divide,"diff_z:current_assets,inventory|key:current_liabilities",require_positive_denominator,"Current assets minus inventory (NaN-coalesced to 0 if unreported), divided by current liabilities.",,1900-01-01,
cash_ratio,liquidity,ratio,ratio,cash_and_equivalents,current_liabilities,[1104],[1202],"[""cash_and_equivalents"", ""current_liabilities""]",divide,key:cash_and_equivalents|key:current_liabilities,require_positive_denominator,Cash and equivalents divided by current liabilities.,,1900-01-01,
working_capital,liquidity,difference,currency,current_assets,current_liabilities,[1102],[1202],"[""current_assets"", ""current_liabilities""]",difference,key:current_assets|key:current_liabilities,,Current assets minus current liabilities.,,1900-01-01,
working_capital_to_assets,liquidity,ratio,ratio,working_capital,assets,[1102],[1101],"[""current_assets"", ""current_liabilities"", ""assets""]",divide,"diff:current_assets,current_liabilities|key:assets",require_positive_denominator,Working capital (current assets minus current liabilities) divided by total assets.,,1900-01-01,
long_term_debt_to_equity,leverage,ratio,ratio,long_term_debt,stockholders_equity,[1207],[1221],"[""long_term_debt"", ""equity""]",divide,key:long_term_debt|key:equity,require_positive_denominator,Long-term debt divided by stockholders' equity.,,1900-01-01,
long_term_debt_to_assets,leverage,ratio,ratio,long_term_debt,assets,[1207],[1101],"[""long_term_debt"", ""assets""]",divide,key:long_term_debt|key:assets,require_positive_denominator,Long-term debt divided by total assets.,,1900-01-01,
net_debt,leverage,difference,currency,long_term_debt,cash_and_equivalents,[1207],[1104],"[""long_term_debt"", ""cash_and_equivalents""]",difference,key:long_term_debt|key:cash_and_equivalents,,Long-term debt minus cash and equivalents.,,1900-01-01,
net_debt_to_assets,leverage,ratio,ratio,net_debt,assets,[1207],[1101],"[""long_term_debt"", ""cash_and_equivalents"", ""assets""]",divide,"diff:long_term_debt,cash_and_equivalents|key:assets",require_positive_denominator,Net debt (long-term debt minus cash and equivalents) divided by total assets.,,1900-01-01,
gross_margin,profitability,ratio,ratio,gross_profit,revenue,[1004],[1001],"[""gross_profit"", ""rev""]",divide,key:gross_profit|key:rev,require_positive_denominator,Gross profit divided by revenue.,,1900-01-01,
cost_of_revenue_to_revenue,profitability,ratio,ratio,cost_of_revenue,revenue,[1003],[1001],"[""cost_of_revenue"", ""rev""]",divide,key:cost_of_revenue|key:rev,require_positive_denominator,Cost of revenue divided by revenue.,,1900-01-01,
interest_coverage,leverage,ratio,ratio,operating_income,interest_expense,[1014],[1018],"[""oi"", ""interest_expense""]",divide,key:oi|key:interest_expense,require_positive_denominator,Operating income divided by interest expense.,,1900-01-01,
ebitda,profitability,level,currency,operating_income,depreciation_amortization,[1014],[1307],"[""oi"", ""depreciation_amortization""]",sum,key:oi|key:depreciation_amortization,,Operating income plus depreciation and amortization.,,1900-01-01,
ebitda_margin,profitability,ratio,ratio,ebitda,revenue,"[1014, 1307]",[1001],"[""oi"", ""depreciation_amortization"", ""rev""]",divide,"sum:oi,depreciation_amortization|key:rev",require_positive_denominator,EBITDA (operating income plus depreciation and amortization) divided by revenue.,,1900-01-01,
retained_earnings_to_assets,profitability,ratio,ratio,retained_earnings,assets,[1217],[1101],"[""retained_earnings"", ""assets""]",divide,key:retained_earnings|key:assets,require_positive_denominator,Retained earnings divided by total assets.,,1900-01-01,
equity_to_liabilities,leverage,ratio,ratio,stockholders_equity,liabilities,[1221],[1201],"[""equity"", ""liabilities""]",divide,key:equity|key:liabilities,require_positive_denominator,Stockholders' equity divided by total liabilities.,,1900-01-01,
altman_z_double_prime,health,score,score,altman_z_double_prime_components,n/a,,,"[""current_assets"", ""current_liabilities"", ""assets"", ""retained_earnings"", ""oi"", ""liabilities"", ""equity""]",identity,composite:altman_z_double_prime_v1,,Altman (1995) Z''-score: 6.56*(WC/TA) + 3.26*(RE/TA) + 6.72*(EBIT/TA) + 1.05*(book equity/TL); emerging-markets/non-manufacturer variant using book equity (no market price input) and operating income as the EBIT proxy.,"Altman, E.I., Hartzell, J. & Peck, M. (1995), ""Emerging Markets Corporate Bonds: A Scoring System"", Salomon Brothers.",1900-01-01,
piotroski_f_score,health,score,score,piotroski_signals,n/a,,,"[""ni"", ""assets"", ""ocf"", ""long_term_debt"", ""current_assets"", ""current_liabilities"", ""common_shares_outstanding"", ""gross_profit"", ""rev"", ""ni_prior"", ""assets_prior"", ""long_term_debt_prior"", ""current_assets_prior"", ""current_liabilities_prior"", ""common_shares_outstanding_prior"", ""gross_profit_prior"", ""rev_prior""]",identity,composite:piotroski_f_score_v1,,"Piotroski (2000) F-score: nine year-over-year binary fundamental-strength signals (4 profitability, 3 funding/liquidity, 2 efficiency) summed 0-9.","Piotroski, J.D. (2000), ""Value Investing: The Use of Historical Financial Statement Information to Separate Winners from Losers"", Journal of Accounting Research, 38 (Supplement), pp. 1-41.",1900-01-01,
ohlson_o_score,health,score,score,ohlson_o_score_terms,n/a,,,"[""assets"", ""liabilities"", ""current_assets"", ""current_liabilities"", ""ni"", ""ocf"", ""ni_prior""]",identity,composite:ohlson_o_score_v1,,Ohlson (1980) O-score: nine-term bankruptcy-probability logit (GNP-deflator term omitted; a rank-preserving additive shift).,"Ohlson, J.A. (1980), ""Financial Ratios and the Probabilistic Prediction of Bankruptcy"", Journal of Accounting Research, 18(1), pp. 109-131.",1900-01-01,
beneish_m_score,health,score,score,beneish_m_score_terms,n/a,,,"[""rev"", ""accounts_receivable"", ""cost_of_revenue"", ""current_assets"", ""property_plant_equipment_net"", ""assets"", ""depreciation_amortization"", ""selling_general_and_administrative_expense"", ""liabilities"", ""ni"", ""ocf"", ""rev_prior"", ""accounts_receivable_prior"", ""cost_of_revenue_prior"", ""current_assets_prior"", ""property_plant_equipment_net_prior"", ""assets_prior"", ""depreciation_amortization_prior"", ""selling_general_and_administrative_expense_prior"", ""liabilities_prior""]",identity,composite:beneish_m_score_v1,,"Beneish (1999) eight-variable M-score for earnings-manipulation risk (DSRI, GMI, AQI, SGI, DEPI, SGAI, TATA, LVGI).","Beneish, M.D. (1999), ""The Detection of Earnings Manipulation"", Financial Analysts Journal, 55(5), pp. 24-36.",1900-01-01,
