effective_date	symbol	raw_weight	source	as_of
2026-07-26	HON	35.0	curated-sp100-static	2026-07-26
2026-07-26	BX	34.0	curated-sp100-static	2026-07-26
2026-07-26	COP	33.0	curated-sp100-static	2026-07-26
2026-07-26	TMO	32.0	curated-sp100-static	2026-07-26
2026-07-26	SYK	31.0	curated-sp100-static	2026-07-26
2026-07-26	ETN	30.0	curated-sp100-static	2026-07-26
2026-07-26	DE	29.0	curated-sp100-static	2026-07-26
2026-07-26	ADBE	28.0	curated-sp100-static	2026-07-26
2026-07-26	BMY	27.0	curated-sp100-static	2026-07-26
2026-07-26	GILD	26.0	curated-sp100-static	2026-07-26
2026-07-26	MDT	25.0	curated-sp100-static	2026-07-26
2026-07-26	AMT	24.0	curated-sp100-static	2026-07-26
2026-07-26	LMT	23.0	curated-sp100-static	2026-07-26
2026-07-26	SBUX	22.0	curated-sp100-static	2026-07-26
2026-07-26	INTC	21.0	curated-sp100-static	2026-07-26
2026-07-26	BA	20.0	curated-sp100-static	2026-07-26
2026-07-26	C	19.0	curated-sp100-static	2026-07-26
2026-07-26	UPS	18.0	curated-sp100-static	2026-07-26
2026-07-26	MMM	17.0	curated-sp100-static	2026-07-26
2026-07-26	MO	16.0	curated-sp100-static	2026-07-26
2026-07-26	SO	15.0	curated-sp100-static	2026-07-26
2026-07-26	PYPL	14.0	curated-sp100-static	2026-07-26
2026-07-26	NKE	13.0	curated-sp100-static	2026-07-26
2026-07-26	CL	12.0	curated-sp100-static	2026-07-26
2026-07-26	DUK	11.0	curated-sp100-static	2026-07-26
2026-07-26	GM	10.0	curated-sp100-static	2026-07-26
2026-07-26	GD	9.0	curated-sp100-static	2026-07-26
2026-07-26	FDX	8.0	curated-sp100-static	2026-07-26
2026-07-26	TGT	7.0	curated-sp100-static	2026-07-26
2026-07-26	BK	6.0	curated-sp100-static	2026-07-26
2026-07-26	COF	5.0	curated-sp100-static	2026-07-26
2026-07-26	KHC	4.0	curated-sp100-static	2026-07-26
2026-07-26	EMR	3.0	curated-sp100-static	2026-07-26
2026-07-26	AIG	2.0	curated-sp100-static	2026-07-26
2026-07-26	CVS	1.0	curated-sp100-static	2026-07-26
